root_role,root_cause,missing_rate,false_alarm_count,trial,observed_alarm_count,topology_rank,temporal_rank
access,access-14,0.4,0,1,0,14,14
access,access-14,0.4,0,2,1,1,1
access,access-14,0.4,0,3,0,14,14
access,access-14,0.4,0,4,1,1,1
access,access-14,0.4,0,5,0,14,14
access,access-14,0.4,0,6,1,1,1
access,access-14,0.4,0,7,0,14,14
access,access-14,0.4,0,8,1,1,1
access,access-14,0.4,0,9,1,1,1
access,access-14,0.4,0,10,0,14,14
access,access-14,0.4,0,11,1,1,1
access,access-14,0.4,0,12,0,14,14
access,access-14,0.4,0,13,1,1,1
access,access-14,0.4,0,14,0,14,14
access,access-14,0.4,0,15,0,14,14
access,access-14,0.4,0,16,0,14,14
access,access-14,0.4,0,17,1,1,1
access,access-14,0.4,0,18,0,14,14
access,access-14,0.4,0,19,1,1,1
access,access-14,0.4,2,0,2,17,17
access,access-14,0.4,2,1,3,4,3
access,access-14,0.4,2,2,3,3,3
access,access-14,0.4,2,3,3,3,3
access,access-14,0.4,2,4,3,4,3
access,access-14,0.4,2,5,3,2,2
access,access-14,0.4,2,6,2,18,18
access,access-14,0.4,2,7,3,3,2
access,access-14,0.4,2,8,3,1,1
access,access-14,0.4,2,9,3,1,1
access,access-14,0.4,2,10,2,16,16
access,access-14,0.4,2,11,3,2,2
access,access-14,0.4,2,12,3,3,3
access,access-14,0.4,2,13,2,19,19
access,access-14,0.4,2,14,3,2,2
access,access-14,0.4,2,15,3,2,2
access,access-14,0.4,2,16,3,2,2
access,access-14,0.4,2,17,2,17,17
access,access-14,0.4,2,18,3,1,1
access,access-14,0.4,2,19,3,2,3
access,access-14,0.4,4,0,4,19,19
access,access-14,0.4,4,1,4,18,18
access,access-14,0.4,4,2,4,21,21
access,access-14,0.4,4,3,5,4,3
access,access-14,0.4,4,4,5,4,3
access,access-14,0.4,4,5,5,4,4
access,access-14,0.4,4,6,4,20,20
access,access-14,0.4,4,7,4,20,20
access,access-14,0.4,4,8,5,2,2
access,access-14,0.4,4,9,5,4,4
access,access-14,0.4,4,10,4,19,19
access,access-14,0.4,4,11,5,5,4
access,access-14,0.4,4,12,4,20,20
access,access-14,0.4,4,13,4,21,21
access,access-14,0.4,4,14,4,19,19
access,access-14,0.4,4,15,4,20,20
access,access-14,0.4,4,16,4,20,20
access,access-14,0.4,4,17,4,20,20
access,access-14,0.4,4,18,4,22,22
access,access-14,0.4,4,19,5,3,3
access,access-15,0.0,0,0,1,1,1
access,access-15,0.0,0,1,1,1,1
access,access-15,0.0,0,2,1,1,1
access,access-15,0.0,0,3,1,1,1
access,access-15,0.0,0,4,1,1,1
access,access-15,0.0,0,5,1,1,1
access,access-15,0.0,0,6,1,1,1
access,access-15,0.0,0,7,1,1,1
access,access-15,0.0,0,8,1,1,1
access,access-15,0.0,0,9,1,1,1
access,access-15,0.0,0,10,1,1,1
access,access-15,0.0,0,11,1,1,1
access,access-15,0.0,0,12,1,1,1
access,access-15,0.0,0,13,1,1,1
access,access-15,0.0,0,14,1,1,1
access,access-15,0.0,0,15,1,1,1
access,access-15,0.0,0,16,1,1,1
access,access-15,0.0,0,17,1,1,1
access,access-15,0.0,0,18,1,1,1
access,access-15,0.0,0,19,1,1,1
access,access-15,0.0,2,0,3,2,2
access,access-15,0.0,2,1,3,1,1
access,access-15,0.0,2,2,3,2,2
access,access-15,0.0,2,3,3,2,2
access,access-15,0.0,2,4,3,2,2
access,access-15,0.0,2,5,3,3,3
access,access-15,0.0,2,6,3,2,2
access,access-15,0.0,2,7,3,3,3
access,access-15,0.0,2,8,3,2,2
access,access-15,0.0,2,9,3,2,2
access,access-15,0.0,2,10,3,4,4
access,access-15,0.0,2,11,3,2,2
access,access-15,0.0,2,12,3,3,4
access,access-15,0.0,2,13,3,2,2
access,access-15,0.0,2,14,3,2,2
access,access-15,0.0,2,15,3,3,3
access,access-15,0.0,2,16,3,2,2
access,access-15,0.0,2,17,3,4,4
access,access-15,0.0,2,18,3,3,2
access,access-15,0.0,2,19,3,2,2
access,access-15,0.0,4,0,5,4,3
access,access-15,0.0,4,1,5,5,5
access,access-15,0.0,4,2,5,4,3
access,access-15,0.0,4,3,5,4,2
access,access-15,0.0,4,4,5,5,4
access,access-15,0.0,4,5,5,5,4
access,access-15,0.0,4,6,5,4,3
access,access-15,0.0,4,7,5,5,3
access,access-15,0.0,4,8,5,5,4
access,access-15,0.0,4,9,5,5,4
access,access-15,0.0,4,10,5,5,4
access,access-15,0.0,4,11,5,4,5
access,access-15,0.0,4,12,5,5,4
access,access-15,0.0,4,13,5,5,5
access,access-15,0.0,4,14,5,6,5
access,access-15,0.0,4,15,5,6,6
access,access-15,0.0,4,16,5,4,4
access,access-15,0.0,4,17,5,5,4
access,access-15,0.0,4,18,5,5,3
access,access-15,0.0,4,19,5,5,3
access,access-15,0.2,0,0,1,1,1
access,access-15,0.2,0,1,1,1,1
access,access-15,0.2,0,2,0,15,15
access,access-15,0.2,0,3,1,1,1
access,access-15,0.2,0,4,0,15,15
access,access-15,0.2,0,5,1,1,1
access,access-15,0.2,0,6,1,1,1
access,access-15,0.2,0,7,0,15,15
access,access-15,0.2,0,8,0,15,15
access,access-15,0.2,0,9,0,15,15
access,access-15,0.2,0,10,1,1,1
access,access-15,0.2,0,11,1,1,1
access,access-15,0.2,0,12,1,1,1
access,access-15,0.2,0,13,1,1,1
access,access-15,0.2,0,14,1,1,1
access,access-15,0.2,0,15,1,1,1
access,access-15,0.2,0,16,0,15,15
access,access-15,0.2,0,17,0,15,15
access,access-15,0.2,0,18,1,1,1
access,access-15,0.2,0,19,1,1,1
access,access-15,0.2,2,0,3,3,3
access,access-15,0.2,2,1,2,18,18
access,access-15,0.2,2,2,2,19,19
access,access-15,0.2,2,3,3,3,2
access,access-15,0.2,2,4,3,1,1
access,access-15,0.2,2,5,3,3,4
access,access-15,0.2,2,6,3,2,2
access,access-15,0.2,2,7,3,2,2
access,access-15,0.2,2,8,3,3,4
access,access-15,0.2,2,9,3,3,2
access,access-15,0.2,2,10,3,3,3
access,access-15,0.2,2,11,2,18,18
access,access-15,0.2,2,12,2,19,19
access,access-15,0.2,2,13,3,2,3
access,access-15,0.2,2,14,3,1,1
access,access-15,0.2,2,15,3,1,1
access,access-15,0.2,2,16,3,2,2
access,access-15,0.2,2,17,3,2,2
access,access-15,0.2,2,18,3,2,2
access,access-15,0.2,2,19,2,19,19
access,access-15,0.2,4,0,5,3,3
access,access-15,0.2,4,1,5,3,3
access,access-15,0.2,4,2,5,5,5
access,access-15,0.2,4,3,4,23,23
access,access-15,0.2,4,4,5,5,4
access,access-15,0.2,4,5,5,3,3
access,access-15,0.2,4,6,5,3,3
access,access-15,0.2,4,7,5,3,3
access,access-15,0.2,4,8,5,3,3
access,access-15,0.2,4,9,5,5,5
access,access-15,0.2,4,10,4,22,22
access,access-15,0.2,4,11,5,5,4
access,access-15,0.2,4,12,5,3,3
access,access-15,0.2,4,13,5,3,3
access,access-15,0.2,4,14,5,5,6
access,access-15,0.2,4,15,5,3,3
access,access-15,0.2,4,16,4,19,19
access,access-15,0.2,4,17,4,22,22
access,access-15,0.2,4,18,5,3,3
access,access-15,0.2,4,19,5,4,3
access,access-15,0.4,0,0,0,15,15
access,access-15,0.4,0,1,0,15,15
access,access-15,0.4,0,2,1,1,1
access,access-15,0.4,0,3,1,1,1
access,access-15,0.4,0,4,1,1,1
access,access-15,0.4,0,5,1,1,1
access,access-15,0.4,0,6,1,1,1
access,access-15,0.4,0,7,1,1,1
access,access-15,0.4,0,8,1,1,1
access,access-15,0.4,0,9,1,1,1
access,access-15,0.4,0,10,0,15,15
access,access-15,0.4,0,11,1,1,1
access,access-15,0.4,0,12,1,1,1
access,access-15,0.4,0,13,1,1,1
access,access-15,0.4,0,14,1,1,1
access,access-15,0.4,0,15,1,1,1
access,access-15,0.4,0,16,0,15,15
access,access-15,0.4,0,17,0,15,15
access,access-15,0.4,0,18,0,15,15
access,access-15,0.4,0,19,1,1,1
access,access-15,0.4,2,0,3,2,2
access,access-15,0.4,2,1,2,19,19
access,access-15,0.4,2,2,2,17,17
access,access-15,0.4,2,3,2,17,17
access,access-15,0.4,2,4,2,18,18
access,access-15,0.4,2,5,2,19,19
access,access-15,0.4,2,6,2,19,19
access,access-15,0.4,2,7,2,17,17
access,access-15,0.4,2,8,3,2,2
access,access-15,0.4,2,9,3,4,4
access,access-15,0.4,2,10,2,17,17
access,access-15,0.4,2,11,3,2,2
access,access-15,0.4,2,12,2,20,20
access,access-15,0.4,2,13,2,18,18
access,access-15,0.4,2,14,3,2,2
access,access-15,0.4,2,15,3,1,1
access,access-15,0.4,2,16,3,3,3
access,access-15,0.4,2,17,2,18,18
access,access-15,0.4,2,18,3,2,2
access,access-15,0.4,2,19,3,3,2
access,access-15,0.4,4,0,4,22,22
access,access-15,0.4,4,1,4,21,21
access,access-15,0.4,4,2,4,21,21
access,access-15,0.4,4,3,4,21,21
access,access-15,0.4,4,4,4,22,22
access,access-15,0.4,4,5,4,20,20
access,access-15,0.4,4,6,5,4,4
access,access-15,0.4,4,7,4,21,21
access,access-15,0.4,4,8,4,20,20
access,access-15,0.4,4,9,5,3,3
access,access-15,0.4,4,10,4,17,17
access,access-15,0.4,4,11,5,2,2
access,access-15,0.4,4,12,4,23,23
access,access-15,0.4,4,13,5,5,5
access,access-15,0.4,4,14,5,6,5
access,access-15,0.4,4,15,4,23,23
access,access-15,0.4,4,16,5,4,4
access,access-15,0.4,4,17,4,23,23
access,access-15,0.4,4,18,5,4,4
access,access-15,0.4,4,19,5,3,2
aggregation,aggregation-06,0.0,0,0,4,1,1
aggregation,aggregation-06,0.0,0,1,4,1,1
aggregation,aggregation-06,0.0,0,2,4,1,1
aggregation,aggregation-06,0.0,0,3,4,1,1
aggregation,aggregation-06,0.0,0,4,4,1,1
aggregation,aggregation-06,0.0,0,5,4,1,1
aggregation,aggregation-06,0.0,0,6,4,1,1
aggregation,aggregation-06,0.0,0,7,4,1,1
aggregation,aggregation-06,0.0,0,8,4,1,1
aggregation,aggregation-06,0.0,0,9,4,1,1
aggregation,aggregation-06,0.0,0,10,4,1,1
aggregation,aggregation-06,0.0,0,11,4,1,1
aggregation,aggregation-06,0.0,0,12,4,1,1
aggregation,aggregation-06,0.0,0,13,4,1,1
aggregation,aggregation-06,0.0,0,14,4,1,1
aggregation,aggregation-06,0.0,0,15,4,1,1
aggregation,aggregation-06,0.0,0,16,4,1,1
aggregation,aggregation-06,0.0,0,17,4,1,1
aggregation,aggregation-06,0.0,0,18,4,1,1
aggregation,aggregation-06,0.0,0,19,4,1,1
aggregation,aggregation-06,0.0,2,0,6,1,1
aggregation,aggregation-06,0.0,2,1,6,1,1
aggregation,aggregation-06,0.0,2,2,6,1,1
aggregation,aggregation-06,0.0,2,3,6,1,1
aggregation,aggregation-06,0.0,2,4,6,1,1
aggregation,aggregation-06,0.0,2,5,6,1,1
aggregation,aggregation-06,0.0,2,6,6,1,1
aggregation,aggregation-06,0.0,2,7,6,1,1
aggregation,aggregation-06,0.0,2,8,6,1,1
aggregation,aggregation-06,0.0,2,9,6,1,1
aggregation,aggregation-06,0.0,2,10,6,1,1
aggregation,aggregation-06,0.0,2,11,6,1,1
aggregation,aggregation-06,0.0,2,12,6,1,1
aggregation,aggregation-06,0.0,2,13,6,1,1
aggregation,aggregation-06,0.0,2,14,6,1,1
aggregation,aggregation-06,0.0,2,15,6,1,1
aggregation,aggregation-06,0.0,2,16,6,1,1
aggregation,aggregation-06,0.0,2,17,6,1,1
aggregation,aggregation-06,0.0,2,18,6,1,1
aggregation,aggregation-06,0.0,2,19,6,1,1
aggregation,aggregation-06,0.0,4,0,8,1,1
aggregation,aggregation-06,0.0,4,1,8,1,1
aggregation,aggregation-06,0.0,4,2,8,1,1
aggregation,aggregation-06,0.0,4,3,8,1,1
aggregation,aggregation-06,0.0,4,4,8,1,1
aggregation,aggregation-06,0.0,4,5,8,1,1
aggregation,aggregation-06,0.0,4,6,8,1,1
aggregation,aggregation-06,0.0,4,7,8,2,1
aggregation,aggregation-06,0.0,4,8,8,1,1
aggregation,aggregation-06,0.0,4,9,8,2,1
aggregation,aggregation-06,0.0,4,10,8,1,1
aggregation,aggregation-06,0.0,4,11,8,2,1
aggregation,aggregation-06,0.0,4,12,8,1,1
aggregation,aggregation-06,0.0,4,13,8,1,1
aggregation,aggregation-06,0.0,4,14,8,2,1
aggregation,aggregation-06,0.0,4,15,8,1,1
aggregation,aggregation-06,0.0,4,16,8,1,1
aggregation,aggregation-06,0.0,4,17,8,1,1
aggregation,aggregation-06,0.0,4,18,8,1,1
aggregation,aggregation-06,0.0,4,19,8,1,1
aggregation,aggregation-06,0.2,0,0,3,1,1
aggregation,aggregation-06,0.2,0,1,4,1,1
aggregation,aggregation-06,0.2,0,2,4,1,1
aggregation,aggregation-06,0.2,0,3,3,1,1
aggregation,aggregation-06,0.2,0,4,2,1,1
aggregation,aggregation-06,0.2,0,5,2,1,1
aggregation,aggregation-06,0.2,0,6,2,1,1
aggregation,aggregation-06,0.2,0,7,4,1,1
aggregation,aggregation-06,0.2,0,8,1,2,2
aggregation,aggregation-06,0.2,0,9,4,1,1
aggregation,aggregation-06,0.2,0,10,3,1,1
aggregation,aggregation-06,0.2,0,11,4,1,1
aggregation,aggregation-06,0.2,0,12,2,1,1
aggregation,aggregation-06,0.2,0,13,3,1,1
aggregation,aggregation-06,0.2,0,14,4,1,1
aggregation,aggregation-06,0.2,0,15,3,1,1
aggregation,aggregation-06,0.2,0,16,4,1,1
aggregation,aggregation-06,0.2,0,17,4,1,1
aggregation,aggregation-06,0.2,0,18,2,1,1
aggregation,aggregation-06,0.2,0,19,2,1,1
aggregation,aggregation-06,0.2,2,0,3,3,3
aggregation,aggregation-06,0.2,2,1,5,1,1
aggregation,aggregation-06,0.2,2,2,5,1,1
aggregation,aggregation-06,0.2,2,3,5,1,1
aggregation,aggregation-06,0.2,2,4,6,1,1
aggregation,aggregation-06,0.2,2,5,5,1,1
aggregation,aggregation-06,0.2,2,6,6,1,1
aggregation,aggregation-06,0.2,2,7,5,2,1
aggregation,aggregation-06,0.2,2,8,6,1,1
aggregation,aggregation-06,0.2,2,9,5,2,1
aggregation,aggregation-06,0.2,2,10,5,1,1
aggregation,aggregation-06,0.2,2,11,5,1,1
aggregation,aggregation-06,0.2,2,12,6,1,1
aggregation,aggregation-06,0.2,2,13,5,1,1
aggregation,aggregation-06,0.2,2,14,6,1,1
aggregation,aggregation-06,0.2,2,15,6,1,1
aggregation,aggregation-06,0.2,2,16,6,1,1
aggregation,aggregation-06,0.2,2,17,5,1,1
aggregation,aggregation-06,0.2,2,18,5,1,1
aggregation,aggregation-06,0.2,2,19,5,1,1
aggregation,aggregation-06,0.2,4,0,7,1,1
aggregation,aggregation-06,0.2,4,1,8,1,1
aggregation,aggregation-06,0.2,4,2,8,1,1
aggregation,aggregation-06,0.2,4,3,7,1,1
aggregation,aggregation-06,0.2,4,4,8,1,1
aggregation,aggregation-06,0.2,4,5,7,1,1
aggregation,aggregation-06,0.2,4,6,7,1,1
aggregation,aggregation-06,0.2,4,7,8,1,1
aggregation,aggregation-06,0.2,4,8,7,1,1
aggregation,aggregation-06,0.2,4,9,8,1,1
aggregation,aggregation-06,0.2,4,10,7,2,1
aggregation,aggregation-06,0.2,4,11,8,1,1
aggregation,aggregation-06,0.2,4,12,7,1,1
aggregation,aggregation-06,0.2,4,13,7,2,1
aggregation,aggregation-06,0.2,4,14,7,2,1
aggregation,aggregation-06,0.2,4,15,7,2,1
aggregation,aggregation-06,0.2,4,16,8,2,1
aggregation,aggregation-06,0.2,4,17,8,1,1
aggregation,aggregation-06,0.2,4,18,7,2,1
aggregation,aggregation-06,0.2,4,19,8,1,1
aggregation,aggregation-06,0.4,0,0,3,1,1
aggregation,aggregation-06,0.4,0,1,3,1,1
aggregation,aggregation-06,0.4,0,2,2,1,1
aggregation,aggregation-06,0.4,0,3,3,1,1
aggregation,aggregation-06,0.4,0,4,2,1,1
aggregation,aggregation-06,0.4,0,5,2,1,1
aggregation,aggregation-06,0.4,0,6,3,1,1
aggregation,aggregation-06,0.4,0,7,4,1,1
aggregation,aggregation-06,0.4,0,8,3,1,1
aggregation,aggregation-06,0.4,0,9,2,1,1
aggregation,aggregation-06,0.4,0,10,1,2,2
aggregation,aggregation-06,0.4,0,11,2,1,1
aggregation,aggregation-06,0.4,0,12,2,1,1
aggregation,aggregation-06,0.4,0,13,1,2,2
aggregation,aggregation-06,0.4,0,14,2,1,1
aggregation,aggregation-06,0.4,0,15,2,1,1
aggregation,aggregation-06,0.4,0,16,3,1,1
aggregation,aggregation-06,0.4,0,17,1,2,2
aggregation,aggregation-06,0.4,0,18,3,1,1
aggregation,aggregation-06,0.4,0,19,3,1,1
aggregation,aggregation-06,0.4,2,0,5,1,1
aggregation,aggregation-06,0.4,2,1,3,6,6
aggregation,aggregation-06,0.4,2,2,4,5,1
aggregation,aggregation-06,0.4,2,3,4,4,1
aggregation,aggregation-06,0.4,2,4,2,26,26
aggregation,aggregation-06,0.4,2,5,4,5,2
aggregation,aggregation-06,0.4,2,6,4,5,2
aggregation,aggregation-06,0.4,2,7,5,1,1
aggregation,aggregation-06,0.4,2,8,4,1,1
aggregation,aggregation-06,0.4,2,9,6,1,1
aggregation,aggregation-06,0.4,2,10,6,1,1
aggregation,aggregation-06,0.4,2,11,3,6,6
aggregation,aggregation-06,0.4,2,12,4,2,1
aggregation,aggregation-06,0.4,2,13,5,1,1
aggregation,aggregation-06,0.4,2,14,6,1,1
aggregation,aggregation-06,0.4,2,15,4,1,1
aggregation,aggregation-06,0.4,2,16,5,1,1
aggregation,aggregation-06,0.4,2,17,6,1,1
aggregation,aggregation-06,0.4,2,18,5,1,1
aggregation,aggregation-06,0.4,2,19,4,4,1
aggregation,aggregation-06,0.4,4,0,7,2,2
aggregation,aggregation-06,0.4,4,1,6,6,2
aggregation,aggregation-06,0.4,4,2,7,2,1
aggregation,aggregation-06,0.4,4,3,7,1,1
aggregation,aggregation-06,0.4,4,4,8,1,1
aggregation,aggregation-06,0.4,4,5,7,1,1
aggregation,aggregation-06,0.4,4,6,7,1,1
aggregation,aggregation-06,0.4,4,7,7,1,1
aggregation,aggregation-06,0.4,4,8,6,6,1
aggregation,aggregation-06,0.4,4,9,6,8,6
aggregation,aggregation-06,0.4,4,10,5,7,7
aggregation,aggregation-06,0.4,4,11,7,2,1
aggregation,aggregation-06,0.4,4,12,6,8,6
aggregation,aggregation-06,0.4,4,13,6,8,6
aggregation,aggregation-06,0.4,4,14,6,7,6
aggregation,aggregation-06,0.4,4,15,8,2,1
aggregation,aggregation-06,0.4,4,16,7,1,1
aggregation,aggregation-06,0.4,4,17,5,11,11
aggregation,aggregation-06,0.4,4,18,7,1,1
aggregation,aggregation-06,0.4,4,19,7,2,1
access,access-16,0.0,0,0,1,1,1
access,access-16,0.0,0,1,1,1,1
access,access-16,0.0,0,2,1,1,1
access,access-16,0.0,0,3,1,1,1
access,access-16,0.0,0,4,1,1,1
access,access-16,0.0,0,5,1,1,1
access,access-16,0.0,0,6,1,1,1
access,access-16,0.0,0,7,1,1,1
access,access-16,0.0,0,8,1,1,1
access,access-16,0.0,0,9,1,1,1
access,access-16,0.0,0,10,1,1,1
access,access-16,0.0,0,11,1,1,1
access,access-16,0.0,0,12,1,1,1
access,access-16,0.0,0,13,1,1,1
access,access-16,0.0,0,14,1,1,1
access,access-16,0.0,0,15,1,1,1
access,access-16,0.0,0,16,1,1,1
access,access-16,0.0,0,17,1,1,1
access,access-16,0.0,0,18,1,1,1
access,access-16,0.0,0,19,1,1,1
access,access-16,0.0,2,0,3,3,2
access,access-16,0.0,2,1,3,3,3
access,access-16,0.0,2,2,3,3,3
access,access-16,0.0,2,3,3,3,3
access,access-16,0.0,2,4,3,2,2
access,access-16,0.0,2,5,3,3,3
access,access-16,0.0,2,6,3,3,3
access,access-16,0.0,2,7,3,3,3
access,access-16,0.0,2,8,3,3,3
access,access-16,0.0,2,9,3,2,2
access,access-16,0.0,2,10,3,3,2
access,access-16,0.0,2,11,3,2,2
access,access-16,0.0,2,12,3,3,3
access,access-16,0.0,2,13,3,3,3
access,access-16,0.0,2,14,3,3,3
access,access-16,0.0,2,15,3,2,2
access,access-16,0.0,2,16,3,3,3
access,access-16,0.0,2,17,3,3,2
access,access-16,0.0,2,18,3,4,3
access,access-16,0.0,2,19,3,3,3
access,access-16,0.0,4,0,5,3,2
access,access-16,0.0,4,1,5,3,3
access,access-16,0.0,4,2,5,5,4
access,access-16,0.0,4,3,5,4,2
access,access-16,0.0,4,4,5,3,3
access,access-16,0.0,4,5,5,4,4
access,access-16,0.0,4,6,5,6,6
access,access-16,0.0,4,7,5,4,4
access,access-16,0.0,4,8,5,4,3
access,access-16,0.0,4,9,5,4,3
access,access-16,0.0,4,10,5,4,4
access,access-16,0.0,4,11,5,4,4
access,access-16,0.0,4,12,5,4,4
access,access-16,0.0,4,13,5,5,5
access,access-16,0.0,4,14,5,5,4
access,access-16,0.0,4,15,5,5,5
access,access-16,0.0,4,16,5,5,3
access,access-16,0.0,4,17,5,6,4
access,access-16,0.0,4,18,5,2,2
access,access-16,0.0,4,19,5,5,3
access,access-16,0.2,0,0,1,1,1
access,access-16,0.2,0,1,1,1,1
access,access-16,0.2,0,2,1,1,1
access,access-16,0.2,0,3,1,1,1
access,access-16,0.2,0,4,1,1,1
access,access-16,0.2,0,5,1,1,1
access,access-16,0.2,0,6,1,1,1
access,access-16,0.2,0,7,1,1,1
access,access-16,0.2,0,8,1,1,1
access,access-16,0.2,0,9,0,16,16
access,access-16,0.2,0,10,1,1,1
access,access-16,0.2,0,11,1,1,1
access,access-16,0.2,0,12,1,1,1
access,access-16,0.2,0,13,1,1,1
access,access-16,0.2,0,14,1,1,1
access,access-16,0.2,0,15,1,1,1
access,access-16,0.2,0,16,1,1,1
access,access-16,0.2,0,17,1,1,1
access,access-16,0.2,0,18,1,1,1
access,access-16,0.2,0,19,1,1,1
access,access-16,0.2,2,0,3,2,2
access,access-16,0.2,2,1,3,3,2
access,access-16,0.2,2,2,3,4,4
access,access-16,0.2,2,3,3,3,3
access,access-16,0.2,2,4,3,2,2
access,access-16,0.2,2,5,3,2,2
access,access-16,0.2,2,6,2,20,20
access,access-16,0.2,2,7,3,3,3
access,access-16,0.2,2,8,3,2,3
access,access-16,0.2,2,9,3,3,3
access,access-16,0.2,2,10,3,3,3
access,access-16,0.2,2,11,3,3,3
access,access-16,0.2,2,12,3,3,3
access,access-16,0.2,2,13,3,3,3
access,access-16,0.2,2,14,3,4,4
access,access-16,0.2,2,15,2,19,19
access,access-16,0.2,2,16,3,3,3
access,access-16,0.2,2,17,3,1,1
access,access-16,0.2,2,18,3,3,3
access,access-16,0.2,2,19,2,20,20
access,access-16,0.2,4,0,5,4,3
access,access-16,0.2,4,1,5,5,5
access,access-16,0.2,4,2,5,6,5
access,access-16,0.2,4,3,4,22,22
access,access-16,0.2,4,4,5,5,5
access,access-16,0.2,4,5,4,21,21
access,access-16,0.2,4,6,5,2,2
access,access-16,0.2,4,7,5,4,4
access,access-16,0.2,4,8,5,4,3
access,access-16,0.2,4,9,4,21,21
access,access-16,0.2,4,10,5,5,4
access,access-16,0.2,4,11,5,3,3
access,access-16,0.2,4,12,5,6,6
access,access-16,0.2,4,13,5,4,4
access,access-16,0.2,4,14,5,3,3
access,access-16,0.2,4,15,5,4,3
access,access-16,0.2,4,16,5,2,2
access,access-16,0.2,4,17,5,3,3
access,access-16,0.2,4,18,5,5,5
access,access-16,0.2,4,19,4,22,22
access,access-16,0.4,0,0,1,1,1
access,access-16,0.4,0,1,1,1,1
access,access-16,0.4,0,2,0,16,16
access,access-16,0.4,0,3,1,1,1
access,access-16,0.4,0,4,1,1,1
access,access-16,0.4,0,5,1,1,1
access,access-16,0.4,0,6,0,16,16
access,access-16,0.4,0,7,1,1,1
access,access-16,0.4,0,8,1,1,1
access,access-16,0.4,0,9,1,1,1
access,access-16,0.4,0,10,0,16,16
access,access-16,0.4,0,11,0,16,16
access,access-16,0.4,0,12,1,1,1
access,access-16,0.4,0,13,0,16,16
access,access-16,0.4,0,14,0,16,16
access,access-16,0.4,0,15,1,1,1
access,access-16,0.4,0,16,0,16,16
access,access-16,0.4,0,17,1,1,1
access,access-16,0.4,0,18,1,1,1
access,access-16,0.4,0,19,1,1,1
access,access-16,0.4,2,0,3,1,1
access,access-16,0.4,2,1,2,20,20
access,access-16,0.4,2,2,2,21,21
access,access-16,0.4,2,3,3,2,2
access,access-16,0.4,2,4,3,2,1
access,access-16,0.4,2,5,3,3,3
access,access-16,0.4,2,6,2,19,19
access,access-16,0.4,2,7,3,3,3
access,access-16,0.4,2,8,2,20,20
access,access-16,0.4,2,9,2,20,20
access,access-16,0.4,2,10,3,4,4
access,access-16,0.4,2,11,2,19,19
access,access-16,0.4,2,12,3,3,2
access,access-16,0.4,2,13,2,18,18
access,access-16,0.4,2,14,3,3,3
access,access-16,0.4,2,15,2,20,20
access,access-16,0.4,2,16,3,3,3
access,access-16,0.4,2,17,3,3,2
access,access-16,0.4,2,18,3,2,2
access,access-16,0.4,2,19,2,18,18
access,access-16,0.4,4,0,5,6,4
access,access-16,0.4,4,1,5,5,3
access,access-16,0.4,4,2,5,4,4
access,access-16,0.4,4,3,5,5,5
access,access-16,0.4,4,4,5,4,4
access,access-16,0.4,4,5,4,23,23
access,access-16,0.4,4,6,4,24,24
access,access-16,0.4,4,7,5,5,4
access,access-16,0.4,4,8,5,3,3
access,access-16,0.4,4,9,5,3,3
access,access-16,0.4,4,10,5,4,3
access,access-16,0.4,4,11,5,5,5
access,access-16,0.4,4,12,4,21,21
access,access-16,0.4,4,13,5,4,3
access,access-16,0.4,4,14,5,4,3
access,access-16,0.4,4,15,5,4,5
access,access-16,0.4,4,16,5,4,3
access,access-16,0.4,4,17,4,21,21
access,access-16,0.4,4,18,5,3,3
access,access-16,0.4,4,19,5,6,6
access,access-17,0.0,0,0,1,1,1
access,access-17,0.0,0,1,1,1,1
access,access-17,0.0,0,2,1,1,1
access,access-17,0.0,0,3,1,1,1
access,access-17,0.0,0,4,1,1,1
access,access-17,0.0,0,5,1,1,1
access,access-17,0.0,0,6,1,1,1
access,access-17,0.0,0,7,1,1,1
access,access-17,0.0,0,8,1,1,1
access,access-17,0.0,0,9,1,1,1
access,access-17,0.0,0,10,1,1,1
access,access-17,0.0,0,11,1,1,1
access,access-17,0.0,0,12,1,1,1
access,access-17,0.0,0,13,1,1,1
access,access-17,0.0,0,14,1,1,1
access,access-17,0.0,0,15,1,1,1
access,access-17,0.0,0,16,1,1,1
access,access-17,0.0,0,17,1,1,1
access,access-17,0.0,0,18,1,1,1
access,access-17,0.0,0,19,1,1,1
access,access-17,0.0,2,0,3,3,3
access,access-17,0.0,2,1,3,2,2
access,access-17,0.0,2,2,3,3,3
access,access-17,0.0,2,3,3,4,4
access,access-17,0.0,2,4,3,2,2
access,access-17,0.0,2,5,3,3,3
access,access-17,0.0,2,6,3,4,4
access,access-17,0.0,2,7,3,3,3
access,access-17,0.0,2,8,3,3,2
access,access-17,0.0,2,9,3,3,2
access,access-17,0.0,2,10,3,2,2
access,access-17,0.0,2,11,3,3,3
access,access-17,0.0,2,12,3,4,3
access,access-17,0.0,2,13,3,4,3
access,access-17,0.0,2,14,3,3,3
access,access-17,0.0,2,15,3,3,2
access,access-17,0.0,2,16,3,3,2
access,access-17,0.0,2,17,3,3,3
access,access-17,0.0,2,18,3,3,3
access,access-17,0.0,2,19,3,2,3
access,access-17,0.0,4,0,5,5,5
access,access-17,0.0,4,1,5,5,5
access,access-17,0.0,4,2,5,4,3
access,access-17,0.0,4,3,5,5,5
